,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month,Sales,City,Minute
0,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910
1,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350
2,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243
3,831,831,831,831,831,831,831,831,831,831
4,854,854,854,854,854,854,854,854,854,854
5,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321
6,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482
7,4011,4011,4011,4011,4011,4011,4011,4011,4011,4011
8,6256,6256,6256,6256,6256,6256,6256,6256,6256,6256
9,8748,8748,8748,8748,8748,8748,8748,8748,8748,8748
10,10944,10944,10944,10944,10944,10944,10944,10944,10944,10944
11,12411,12411,12411,12411,12411,12411,12411,12411,12411,12411
12,12587,12587,12587,12587,12587,12587,12587,12587,12587,12587
13,12129,12129,12129,12129,12129,12129,12129,12129,12129,12129
14,10984,10984,10984,10984,10984,10984,10984,10984,10984,10984
15,10175,10175,10175,10175,10175,10175,10175,10175,10175,10175
16,10384,10384,10384,10384,10384,10384,10384,10384,10384,10384
17,10899,10899,10899,10899,10899,10899,10899,10899,10899,10899
18,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280
19,12905,12905,12905,12905,12905,12905,12905,12905,12905,12905
20,12228,12228,12228,12228,12228,12228,12228,12228,12228,12228
21,10921,10921,10921,10921,10921,10921,10921,10921,10921,10921
22,8822,8822,8822,8822,8822,8822,8822,8822,8822,8822
23,6275,6275,6275,6275,6275,6275,6275,6275,6275,6275
